Year,Value,Series
2016,5.62,Tourism direct GDP as a percentage of total GDP
2017,5.39,Tourism direct GDP as a percentage of total GDP
2018,5.38,Tourism direct GDP as a percentage of total GDP
2019,5.53,Tourism direct GDP as a percentage of total GDP
2020,4.8,Tourism direct GDP as a percentage of total GDP
2021,4.89,Tourism direct GDP as a percentage of total GDP
2022,5.09,Tourism direct GDP as a percentage of total GDP
2023,4.16,Tourism direct GDP as a percentage of total GDP
2016,2.6,Tourism direct GDP as a percentage of growth rate
2017,-4.19,Tourism direct GDP as a percentage of growth rate
2018,-0.14,Tourism direct GDP as a percentage of growth rate
2019,2.73,Tourism direct GDP as a percentage of growth rate
2020,-13.17,Tourism direct GDP as a percentage of growth rate
2021,1.87,Tourism direct GDP as a percentage of growth rate
2022,4.21,Tourism direct GDP as a percentage of growth rate
2023,-18.33,Tourism direct GDP as a percentage of growth rate
