Value,Disaggregation combinations using this value,Number of indicators
0-11,2,2
0-5 Months,1,1
0 to 14 years old,1,1
12-14,2,1
12-17,1,1
12-23 Months,2,2
12-23,1,1
14-Oct,1,1
15-17,48,9
15-19,83,20
15-24,37,5
15-49,9,2
15-64,9,2
15 to 64 years old,1,1
18-19,46,8
18-24,2,1
18 & Above,1,1
2-Jan,1,1
20-24,83,19
20-29,4,1
24-35 Months,2,2
24-35,1,1
25-29,83,19
25-30,2,1
25-34,9,2
3-5,2,1
30-34,67,12
30-39,20,8
31-59,2,1
35-39,67,12
35-44,6,1
35-49,3,1
36-47 Months,2,2
36-47,1,1
4-Mar,1,1
40-44,67,12
40-49,20,8
45-49,63,12
45-55,6,1
48-59 Months,2,2
48-59,1,1
50-54,6,1
50-59,3,1
55-59,6,1
55-64,6,1
6-11 Months,2,2
6-11,2,1
60-64,6,1
60+,2,1
65 and older,1,1
65+,6,1
9-May,1,1
Females,1,1
Males,1,1
