Value,Disaggregation combinations using this value,Number of indicators
"Connected and installed a new device, such as a modem, camera or printer",142,1
Copied or moved a file or folder,142,1
"Created an electronic presentation with presentation software, including text, images, sound, video or charts",142,1
"Found, downloaded, installed and configured software",142,1
Performed at least one of the nine listed computer related activities [1] [2],142,1
"Sent e-mail with attached file, such as a document, picture or video",142,1
Transferred a file between a computer and other device,142,1
Used a basic arithmetic formula in a spreadsheet,142,1
Used a copy and paste tool to duplicate or move information within a document,142,1
Wrote a computer program in any programming language,142,1
