Value,Disaggregation combinations using this value,Number of indicators
Abia,161,53
Adamawa,161,53
Akwa Ibom,161,53
Anambra,161,53
Bauchi,161,53
Bayelsa,161,53
Benue,161,53
Borno,160,52
Cross River,161,53
Delta,161,53
Ebonyi,161,53
Edo,161,53
Ekiti,161,53
Enugu,161,53
Federal Capital Territory,161,53
Gombe,161,53
Imo,161,53
Jigawa,160,53
Kaduna,161,53
Kano,161,53
Katsina,161,53
Kebbi,161,53
Kogi,161,53
Kwara,161,53
Lagos,161,53
Nasarawa,161,53
Niger,160,53
Not applicable,6,1
Ogun,161,53
Ondo,161,53
Osun,161,53
Oyo,161,53
Plateau,161,53
Rivers,161,53
Sokoto,161,53
Taraba,161,53
Yobe,161,53
Zamfara,161,53
